#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.04e+07  |2544120508|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.11742983|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.86730359|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.85362400|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.65607618|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.44602679|  PASSED  
        diehard_opso|   0|   2097152|     100|0.80592270|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.50922885|  PASSED  
         diehard_dna|   0|   2097152|     100|0.38486042|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.55778969|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.09707888|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.69464262|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.35225641|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.07009520|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.49526322|  PASSED  
        diehard_sums|   0|       100|     100|0.52833492|  PASSED  
        diehard_runs|   0|    100000|     100|0.55287078|  PASSED  
        diehard_runs|   0|    100000|     100|0.31233239|  PASSED  
       diehard_craps|   0|    200000|     100|0.81740715|  PASSED  
       diehard_craps|   0|    200000|     100|0.13152499|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.98248497|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.95745222|  PASSED  
         sts_monobit|   1|    100000|     100|0.02822403|  PASSED  
            sts_runs|   2|    100000|     100|0.07868849|  PASSED  
          sts_serial|   1|    100000|     100|0.56336281|  PASSED  
          sts_serial|   2|    100000|     100|0.99886635|   WEAK   
          sts_serial|   3|    100000|     100|0.53637592|  PASSED  
          sts_serial|   3|    100000|     100|0.97054656|  PASSED  
          sts_serial|   4|    100000|     100|0.40214895|  PASSED  
          sts_serial|   4|    100000|     100|0.20636946|  PASSED  
          sts_serial|   5|    100000|     100|0.24965738|  PASSED  
          sts_serial|   5|    100000|     100|0.01294479|  PASSED  
          sts_serial|   6|    100000|     100|0.43762428|  PASSED  
          sts_serial|   6|    100000|     100|0.97509164|  PASSED  
          sts_serial|   7|    100000|     100|0.83243699|  PASSED  
          sts_serial|   7|    100000|     100|0.45174474|  PASSED  
          sts_serial|   8|    100000|     100|0.73979426|  PASSED  
          sts_serial|   8|    100000|     100|0.62513855|  PASSED  
          sts_serial|   9|    100000|     100|0.92034391|  PASSED  
          sts_serial|   9|    100000|     100|0.94402293|  PASSED  
          sts_serial|  10|    100000|     100|0.27735117|  PASSED  
