#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  5.12e+06  | 632651086|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.28871425|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.63134308|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.24306311|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.92856296|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.94908192|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.45261808|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.88614153|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.88676451|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.35737957|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.54570730|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.10712554|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.42561419|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.11080631|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.21488525|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.38637845|  PASSED  
             dab_dct| 256|     50000|       1|0.59198092|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.79878791|  PASSED  
        dab_filltree|  32|  15000000|       1|0.50979936|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.67926315|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.35642145|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.01547131|  PASSED  
