#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  5.63e+06  |4200213955|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.54989374|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.45649644|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.98554940|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.82754018|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.12252275|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.15501220|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.38728891|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.45848766|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.83665843|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.99592886|   WEAK   
      rgb_lagged_sum|  30|   1000000|     100|0.29541506|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.81974689|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.79385829|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.12786120|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.80956747|  PASSED  
             dab_dct| 256|     50000|       1|0.84009881|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.16547689|  PASSED  
        dab_filltree|  32|  15000000|       1|0.83417694|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.44627575|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.93721868|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.75379216|  PASSED  
